================ Training Loss (Mon Dec  1 19:21:04 2025) ================
================ Training Loss (Mon Dec  1 19:21:52 2025) ================
[Rank 0] (epoch: 1, iters: 200, time: 0.173, data: 0.177) , D_A: 0.248, G_A: 0.250, cycle_A: 0.614, idt_A: 0.291, D_B: 0.231, G_B: 0.235, cycle_B: 0.732, idt_B: 0.237

[Rank 0] (epoch: 1, iters: 400, time: 0.150, data: 0.004) , D_A: 0.284, G_A: 0.293, cycle_A: 0.304, idt_A: 0.187, D_B: 0.275, G_B: 0.295, cycle_B: 0.427, idt_B: 0.145

[Rank 0] (epoch: 1, iters: 600, time: 0.134, data: 0.005) , D_A: 0.269, G_A: 0.314, cycle_A: 0.234, idt_A: 0.167, D_B: 0.257, G_B: 0.232, cycle_B: 0.354, idt_B: 0.094

[Rank 0] (epoch: 1, iters: 800, time: 0.134, data: 0.005) , D_A: 0.257, G_A: 0.289, cycle_A: 0.134, idt_A: 0.105, D_B: 0.300, G_B: 0.282, cycle_B: 0.238, idt_B: 0.062

[Rank 0] (epoch: 1, iters: 1000, time: 0.135, data: 0.005) , D_A: 0.246, G_A: 0.240, cycle_A: 0.107, idt_A: 0.084, D_B: 0.251, G_B: 0.244, cycle_B: 0.201, idt_B: 0.043

[Rank 0] (epoch: 1, iters: 1200, time: 0.135, data: 0.005) , D_A: 0.255, G_A: 0.235, cycle_A: 0.123, idt_A: 0.090, D_B: 0.258, G_B: 0.238, cycle_B: 0.207, idt_B: 0.064

[Rank 0] (epoch: 1, iters: 1400, time: 0.135, data: 0.005) , D_A: 0.242, G_A: 0.249, cycle_A: 0.090, idt_A: 0.084, D_B: 0.249, G_B: 0.248, cycle_B: 0.181, idt_B: 0.040

[Rank 0] (epoch: 1, iters: 1600, time: 0.135, data: 0.005) , D_A: 0.234, G_A: 0.267, cycle_A: 0.092, idt_A: 0.078, D_B: 0.250, G_B: 0.243, cycle_B: 0.176, idt_B: 0.039

[Rank 0] (epoch: 1, iters: 1800, time: 0.135, data: 0.005) , D_A: 0.233, G_A: 0.262, cycle_A: 0.073, idt_A: 0.063, D_B: 0.252, G_B: 0.271, cycle_B: 0.167, idt_B: 0.035

[Rank 0] (epoch: 2, iters: 40, time: 0.149, data: 0.005) , D_A: 0.239, G_A: 0.331, cycle_A: 0.078, idt_A: 0.069, D_B: 0.265, G_B: 0.226, cycle_B: 0.147, idt_B: 0.038

[Rank 0] (epoch: 2, iters: 240, time: 0.135, data: 0.004) , D_A: 0.252, G_A: 0.264, cycle_A: 0.078, idt_A: 0.050, D_B: 0.254, G_B: 0.256, cycle_B: 0.113, idt_B: 0.039

